phase,startSeconds,endSeconds,startMinutes,endMinutes,durationSeconds,observation
Pit/out staging,28.7,77.1,0.48,1.28,48.4,initial pit window; fuel level becomes reliable
100 kph gear sweep,96.0,435.0,1.6,7.25,339.0,G1-G6 same-speed/different-gear comparison
150 kph gear sweep,444.0,565.0,7.4,9.42,121.0,G2-G6 same-speed/different-gear comparison
195/224/250 kph sweeps,575.0,754.0,9.58,12.57,179.0,higher-speed gear comparisons with some WOT segments
120 kph gear sweep,792.0,842.0,13.2,14.03,50.0,short G2-G6 comparison
WOT/coast staircase,920.0,1488.0,15.33,24.8,568.0,repeated WOT pulls and coast-downs
96 kph WOT sweep,1515.0,1566.0,25.25,26.1,51.0,G1-G6 100% throttle at pit-limiter speed
End pit/garage,1619.8,1624.9,27.0,27.08,5.1,final pit/garage state
